"count_app","time","count_app_p6","rate"
"10","01:00:00","9","1"
"3","01:10:00","10","7"
"0","01:20:00","10","10"
"0","01:30:00","10","10"
"0","01:40:00","10","10"
"0","01:50:00","10","10"
"0","02:00:00","10","10"
"0","02:10:00","3","3"
"0","02:20:00","0","0"
"0","02:30:00","0","0"
"0","02:40:00","0","0"
"0","02:50:00","0","0"
"0","03:00:00","0","0"
"0","03:10:00","0","0"
"0","03:20:00","0","0"
"0","03:30:00","0","0"
"0","03:40:00","0","0"
"0","03:50:00","0","0"
"0","04:00:00","0","0"
"0","04:10:00","0","0"
"0","04:20:00","0","0"
"0","04:30:00","0","0"
"0","04:40:00","0","0"
"0","04:50:00","0","0"
"0","05:00:00","0","0"
"0","05:10:00","0","0"
"0","05:20:00","0","0"
"0","05:30:00","0","0"
"0","05:40:00","0","0"
"0","05:50:00","0","0"
"0","06:00:00","0","0"
"0","06:10:00","0","0"
"0","06:20:00","0","0"
"0","06:30:00","0","0"
"0","06:40:00","0","0"
"0","06:50:00","0","0"
"0","07:00:00","0","0"
"0","07:10:00","0","0"
"0","07:20:00","0","0"
"0","07:30:00","0","0"
"0","07:40:00","0","0"
"0","07:50:00","0","0"
"0","08:00:00","0","0"
"0","08:10:00","0","0"
"0","08:20:00","0","0"
"0","08:30:00","0","0"
"0","08:40:00","0","0"
"0","08:50:00","0","0"
"0","09:00:00","0","0"
"0","09:10:00","0","0"
"0","09:20:00","0","0"
"0","09:30:00","0","0"
"0","09:40:00","0","0"
"0","09:50:00","0","0"
"0","10:00:00","0","0"
"0","10:10:00","0","0"
"0","10:20:00","0","0"
"0","10:30:00","0","0"
"0","10:40:00","0","0"
"0","10:50:00","0","0"
"0","11:00:00","0","0"
"0","11:10:00","0","0"
"0","11:20:00","0","0"
"0","11:30:00","0","0"
"0","11:40:00","0","0"
"0","11:50:00","0","0"
"0","12:00:00","0","0"
"0","12:10:00","0","0"
"0","12:20:00","0","0"
"0","12:30:00","0","0"
"0","12:40:00","0","0"
"0","12:50:00","0","0"

