"ret_timeranges"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"
"-24h - *"

